names,date,budget,revenue
Doctor Strange in the Multiverse of Madness,05/05/2022 ,200000000.0,952224986.0
There Are No Saints,07/01/2022 ,136400000.0,194565354.0
Avengers: Infinity War,04/25/2018 ,300000000.0,2048359754.0
Smile,09/23/2022 ,17000000.0,216049734.0
¡Que Viva México!,03/23/2023 ,100100000.0,947468745.8
Detective Knight: Independence,01/20/2023 ,134200000.0,772865923.6
Strange World,11/24/2022 ,135000000.0,69566884.0
The Ten Commandments,12/12/1958 ,13500000.0,85433929.0
The Ten Commandments,12/12/1958 ,10000000.0,1051907.0
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,03/29/2019 ,129000000.0,645532173.4
Four's a Crowd,10/28/2022 ,110000000.0,271669045.6
Minions: The Rise of Gru,07/04/2022 ,80000000.0,939200081.0
Creed II,12/06/2018 ,50000000.0,213591522.0
Creed,11/26/2015 ,37000000.0,173567581.0
Beast,08/25/2022 ,36000000.0,59103794.0
Fast X,05/19/2023 ,340000000.0,0.0
My Name Is Vendetta,11/30/2022 ,113000000.0,365992130.6
Wrath of Man,04/29/2021 ,40000000.0,103913405.0
Jeepers Creepers: Reborn,09/22/2022 ,5000000.0,5954938.0
Turning Red,03/11/2022 ,175000000.0,10964971.0
Encanto,11/28/2021 ,150000000.0,231120602.0
Prancer: A Christmas Tale,11/22/2022 ,86800000.0,284184080.0
Magic Mike's Last Dance,02/09/2023 ,45000000.0,52000000.0
"Lyle, Lyle, Crocodile",12/26/2022 ,50000000.0,107644101.0
The Penitent Thief,02/25/2021 ,15160689.0,23800.0
Hacksaw Ridge,10/07/2016 ,40000000.0,169023926.0
Venus,12/02/2022 ,6000000.0,7818479.0
The Offering,09/23/2022 ,103600000.0,134150172.6
Jujutsu Kaisen 0,03/17/2022 ,21835777.0,195870885.0
The Batman,03/02/2022 ,200000000.0,766326717.0
Life in a Year,11/27/2020 ,90000000.0,627851111.8
Super Mario Brothers: Great Mission to Rescue Princess Peach,07/20/1986 ,151600000.0,675230189.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12/26/2005 ,180000000.0,745013115.0
The Exorcism of God,07/01/2022 ,1500000.0,123516163.2
Ghosts of the Ozarks,02/04/2022 ,113000000.0,548624602.6
Kompromat,12/01/2022 ,155140000.0,302915354.0
Matadero,12/09/2022 ,73800000.0,346352260.6
Air,04/05/2023 ,28519270.6,5000000.0
Disenchanted,11/18/2022 ,142600000.0,524597714.8
Luck,08/05/2022 ,147000000.0,721203091.4
Bullet Train,08/04/2022 ,85900000.0,238534963.0
Night at the Museum: Kahmunrah Rises Again,12/09/2022 ,124400000.0,508761361.2
Blade of the 47 Ronin,10/25/2022 ,131000000.0,431341845.4
Sing 2,12/26/2021 ,85000000.0,404655351.0
Shark Bait,06/06/2022 ,106000000.0,591557010.2
Shrek,06/21/2001 ,50000000.0,491812794.0
Orgasm Inc: The Story of OneTaste,11/05/2022 ,77400000.0,431611098.0
In His Shadow,03/17/2023 ,133000000.0,407446362.4
Savage Salvation,12/02/2022 ,85645.0,244880855.2
Sisu,01/27/2023 ,6200000.0,58748957.6
"Tango, Tequila and Some Lies",03/09/2023 ,105800000.0,667037174.8
Hotel Transylvania: Transformania,01/14/2022 ,116000000.0,557205138.2
Operation Fortune: Ruse de Guerre,01/12/2023 ,50000000.0,35800000.0
Kids vs. Aliens,01/20/2023 ,143200000.0,514828593.6
Everything Everywhere All at Once,04/14/2022 ,25000000.0,114900000.0
Glass Onion: A Knives Out Mystery,11/23/2022 ,40000000.0,13280000.0
Suro,12/02/2022 ,80000000.0,522029092.4
The Lair,08/25/2022 ,118200000.0,307351568.6
My Hero Academia: World Heroes' Mission,10/28/2021 ,27164600.0,38410729.0
Unhappily Ever After,01/26/2023 ,149000000.0,1109873157.4
Evil Eye,09/22/2022 ,1704500.0,223147806.6
Inspector Sun and the Curse of the Black Widow,12/28/2022 ,98140000.0,494358731.6
The Price We Pay,01/13/2023 ,126800000.0,985255868.8
Lupin The 3rd vs. Cat’s Eye,01/27/2023 ,89600000.0,367393887.6
Murder Mystery,05/25/2019 ,24000000.0,205809600.8
Luz Mala,11/17/2022 ,87600000.0,817860943.8
Babylon,01/19/2023 ,110000000.0,63262638.0
The Lost City,03/30/2022 ,74000000.0,182921990.0
The Lost City,03/30/2022 ,9600000.0,5256839.0
Detective Knight: Rogue,10/21/2022 ,50000000.0,725034225.6
Cop Secret,10/20/2021 ,58100000.0,651717830.0
The Quintessential Quintuplets Movie,12/01/2022 ,2937023.8,17288993.0
Harry Potter and the Chamber of Secrets,11/28/2002 ,100000000.0,874954530.0
Kill Boksoon,03/31/2023 ,119100000.0,763309047.0
Candy Land,01/06/2023 ,54060000.0,492646395.4
Venom: Let There Be Carnage,11/25/2021 ,110000000.0,506863592.0
Harry Potter and the Philosopher's Stone,11/29/2001 ,125000000.0,976475550.0
On the Count of Three,09/29/2022 ,101600000.0,354385756.2
Uncharted,02/17/2022 ,120000000.0,400689914.0
DC League of Super-Pets,09/03/2022 ,90000000.0,203000000.0
Moonfall,02/03/2022 ,150000000.0,59053195.0
Athena,09/23/2022 ,75500000.0,509726081.0
Unicorn Wars,10/21/2022 ,50610000.0,27833.0
Teen Wolf: The Movie,01/27/2023 ,150400000.0,327346026.2
Fantastic Beasts: The Secrets of Dumbledore,04/07/2022 ,200000000.0,404560145.0
Cars 3,06/22/2017 ,175000000.0,383541369.0
The Ledge,02/18/2022 ,2500000.0,249984799.4
The Big 4,12/15/2022 ,98840000.0,339023160.4
Interstellar,11/06/2014 ,165000000.0,648082655.0
Viking Wolf,02/03/2023 ,139000000.0,405888913.2
20th Century Girl,10/06/2022 ,119.0,77132590.4
The Soccer Football Movie,11/09/2022 ,79000000.0,798590398.8
Boston Strangler,03/17/2023 ,117000000.0,521124690.4
Close,02/16/2023 ,26523270.6,3129968.0
Coraline,08/06/2009 ,60000000.0,126037057.0
Luther: The Fallen Sun,03/23/2023 ,111400000.0,513441742.2
Harry Potter and the Goblet of Fire,12/01/2005 ,150000000.0,886742787.0
Piggy,10/14/2022 ,2400000.0,380512.0
Orphan: First Kill,09/01/2022 ,51489867.0,9572765.0
Fullmetal Alchemist: The Final Alchemy,06/24/2022 ,133200000.0,514445172.4
Malcriados,02/15/2023 ,116600000.0,586907459.0
Polar,10/26/2022 ,118000000.0,325759805.4
Jesus,10/19/1979 ,179800000.0,600820848.4
Harry Potter and the Half-Blood Prince,07/15/2009 ,250000000.0,929411069.0
Legend of the Galactic Heroes: Die Neue These - Intrigue 1,09/30/2022 ,138000000.0,337725907.8
Noise,03/17/2023 ,147200000.0,1052163302.4
The Infernal Machine,09/23/2022 ,88200000.0,367763875.4
Abandoned,06/17/2022 ,97760000.0,384573450.8
The Ten Commandments: The Movie,01/28/2016 ,39307171.0,37070177.0
The Avengers,04/25/2012 ,225000000.0,1515100211.0
The Avengers,04/25/2012 ,60000000.0,48585416.0
Still Time,10/22/2022 ,138000000.0,405994737.6
Exodus: Gods and Kings,12/11/2014 ,140000000.0,268314513.0
Wolf Hound,09/01/2022 ,142000000.0,491960363.2
The Little Mermaid,05/26/2023 ,205000000.0,178359863.0
F9,06/17/2021 ,200000000.0,726229501.0
The Wolf of Wall Street,01/22/2014 ,100000000.0,389816136.0
Pinball: The Man Who Saved the Game,03/17/2023 ,146000000.0,469006626.2
"Tad, the Lost Explorer and the Emerald Tablet",12/08/2022 ,119200000.0,379074781.8
Brothers,03/18/2010 ,26000000.0,45043870.0
Brothers,03/18/2010 ,13000000.0,17856688.0
Harry Potter and the Prisoner of Azkaban,06/03/2004 ,130000000.0,789592708.0
Out of the Blue,10/20/2022 ,4600000.0,731767.0
RRR,03/25/2022 ,69000000.0,160000000.0
Broker,03/30/2023 ,28648000.0,18632208.0
The Black Phone,06/30/2022 ,17000000.0,161440742.0
Tom and Jerry Snowman's Land,11/15/2022 ,57440000.0,689333138.0
Transformers: Rise of the Beasts,06/09/2023 ,200000000.0,1240261.6
Avengers: Endgame,04/24/2019 ,400000000.0,2794731755.0
Spider-Man: Across the Spider-Verse,06/02/2023 ,264940000.0,175269998.8
MexZombies,10/26/2022 ,74400000.0,486333316.0
Harry Potter and the Order of the Phoenix,07/11/2007 ,150000000.0,939619849.0
The Northman,04/21/2022 ,70000000.0,69633110.0
I Believe,11/07/2017 ,127600000.0,683545513.4
Blue's Big City Adventure,11/18/2022 ,132000000.0,352601141.6
After Ever Happy,09/08/2022 ,24220050.0,12467270.0
On the Line,11/17/2022 ,10000000.0,16222303.0
Ben-Hur,05/12/1960 ,95000000.0,91669648.0
Ben-Hur,05/12/1960 ,15000000.0,73259017.0
The Next 365 Days,08/19/2022 ,111600000.0,534358853.4
Hocus Pocus 2,09/30/2022 ,40000000.0,0.0
Morbius,03/31/2022 ,75000000.0,162759437.0
Cars 2,06/11/2011 ,200000000.0,560155383.0
Tangled,01/06/2011 ,260000000.0,583777242.0
The Minute You Wake Up Dead,02/01/2023 ,170000000.0,351483918.0
Fifty Shades of Grey,02/12/2015 ,40000000.0,570794950.0
Harry Potter and the Deathly Hallows: Part 2,07/13/2011 ,125000000.0,1341511219.0
The Help,09/01/2011 ,25000000.0,213120004.0
"Monsters, Inc.",12/26/2001 ,115000000.0,560483719.0
The Ice Age Adventures of Buck Wild,03/25/2022 ,143000000.0,508164908.0
Samaritan,08/25/2022 ,100000000.0,380428883.0
Godzilla vs. Kong,03/24/2021 ,155000000.0,468043852.0
Paradise City,01/01/2023 ,20000000.0,161597374.4
Shang-Chi and the Legend of the Ten Rings,09/02/2021 ,150000000.0,432224634.0
Zack Snyder's Justice League,03/18/2021 ,70000000.0,136635234.2
Lightyear,06/16/2022 ,200000000.0,218768299.0
Ritual,09/07/2022 ,102400000.0,502443287.6
Love at First Kiss,03/03/2023 ,178400000.0,324436308.4
The Last Client,06/20/2022 ,149400000.0,426175485.2
Suzume,04/13/2023 ,8224023.8,102258981.0
Pirates of the Caribbean: At World's End,05/24/2007 ,300000000.0,961000000.0
King Shakir Recycle,07/14/2022 ,87200000.0,387787979.0
The School for Good and Evil,10/19/2022 ,137000000.0,750323829.8
Monstrous,05/13/2022 ,6320000.0,138450.0
Shrek 2,06/17/2004 ,70000000.0,935253978.0
The Unbearable Weight of Massive Talent,04/21/2022 ,30000000.0,29116320.0
Fifty Shades Freed,01/17/2018 ,55000000.0,371985018.0
El tirabeque,11/25/2022 ,15541000.0,38139010.0
The Battle at Lake Changjin: Water Gate Bridge,02/11/2022 ,200000000.0,626203271.0
Spider-Man: Into the Spider-Verse,12/13/2018 ,90000000.0,375540831.0
Harry Potter and the Deathly Hallows: Part 1,11/13/2010 ,250000000.0,954305868.0
Emily the Criminal,06/08/2022 ,116200000.0,572201947.0
Emergency Declaration,08/03/2022 ,18052672.0,19200000.0
Blood,01/27/2023 ,107000000.0,297177664.0
Memory,07/05/2022 ,63400000.0,11300000.0
Orgasm Lecture 2,02/20/2020 ,201000000.0,1569323843.8
Whisper,01/23/2022 ,20000.0,211802400.4
The Shack,04/27/2017 ,20000000.0,96860808.0
Eternals,11/04/2021 ,200000000.0,401731759.0
Doraemon: Nobita's Little Star Wars 2021,03/04/2022 ,109000000.0,590124290.8
Dog,03/17/2022 ,15000000.0,84677678.0
The Invitation,08/25/2022 ,1000000.0,354836.0
The Conjuring: The Devil Made Me Do It,06/03/2021 ,40000000.0,200266441.0
3-D Sex and Zen: Extreme Ecstasy,04/14/2011 ,3500000.0,10308238.0
Control,09/23/2022 ,6400000.0,8902141.0
Mortal Kombat,04/22/2021 ,55000000.0,83508259.0
Mortal Kombat,04/22/2021 ,20000000.0,122133227.0
Pirates of the Caribbean: The Curse of the Black Pearl,09/11/2003 ,140000000.0,655011224.0
Clifford the Big Red Dog,12/30/2021 ,64000000.0,78418101.0
Dragon Knight,03/21/2022 ,149000000.0,526557525.4
Cruella,05/27/2021 ,200000000.0,233503234.0
The Suicide Squad,08/05/2021 ,185000000.0,167097737.0
Drifting Home,09/16/2022 ,119000000.0,583004188.8
The Bad Guys,03/31/2022 ,70000000.0,250659286.0
The Remaining,09/05/2014 ,7270000.0,1169603.0
The Last: Naruto the Movie,12/06/2014 ,903852.0,19840000.0
Pirates of the Caribbean: On Stranger Tides,05/19/2011 ,379000000.0,1045713802.0
There's Something Wrong with the Children,01/17/2023 ,97200000.0,463920468.0
Prom Pact,03/31/2023 ,96200000.0,412160901.0
Coco,12/26/2017 ,175000000.0,797660271.0
The Sea Beast,07/08/2022 ,116200000.0,649271677.4
Toy Story,12/07/1995 ,30000000.0,365270951.0
The Boss Baby: Family Business,11/25/2021 ,82000000.0,146281732.0
Housewife Sex Slaves: Hatano Yui,01/09/2015 ,167540000.0,175269998.8
The Independent,11/02/2022 ,80000000.0,522029092.4
Joseph,04/16/1995 ,143260000.0,865531384.0
Fullmetal Alchemist: The Revenge of Scar,05/20/2022 ,120400000.0,614097908.4
Titanic,12/18/1997 ,200000000.0,2222985568.0
The Hunger Games: Mockingjay - Part 1,11/20/2014 ,125000000.0,766575131.0
The Autopsy of Jane Doe,12/09/2016 ,24570496.6,5972942.0
Corrective Measures,04/29/2022 ,105000000.0,354205502.2
The Jack in the Box: Awakening,01/03/2022 ,35442225.8,195189.0
Choose or Die,04/15/2022 ,174000000.0,474753914.4
Project Wolf Hunting,10/13/2022 ,115200000.0,220908446.2
Lost Bullet 2,11/10/2022 ,122800000.0,377993107.0
Crawlspace,03/31/2022 ,110600000.0,660008190.4
The Good Neighbor,09/01/2022 ,105.0,94909.0
The Trapped 13: How We Survived The Thai Cave,10/05/2022 ,111600000.0,767228967.6
Groot's First Steps,08/10/2022 ,131400000.0,730150001.2
Son of God,02/28/2014 ,22000000.0,70949793.0
Sword Art Online the Movie -Progressive- Aria of a Starless Night,12/09/2021 ,20011197.0,14037060.0
Summer Ghost,11/12/2021 ,107200000.0,632203108.6
Resident Evil: Welcome to Raccoon City,12/09/2021 ,25000000.0,41909091.0
Laid-Back Camp The Movie,07/01/2022 ,13187504.6,7283918.0
The Pale Blue Eye,12/22/2022 ,72000000.0,214883443.8
The Lion King,08/25/1994 ,260000000.0,1647733638.0
The Lion King,08/25/1994 ,79300000.0,986193783.0
Avengers: Age of Ultron,04/23/2015 ,365000000.0,1395316979.0
Me Before You,06/16/2016 ,20000000.0,208064908.0
Luca,06/18/2021 ,200000000.0,49750471.0
Pirates of the Caribbean: Dead Man's Chest,07/06/2006 ,200000000.0,1065659812.0
The Menu,11/18/2022 ,30000000.0,73040804.0
Ice Age,03/21/2002 ,65000000.0,386116343.0
Eureka: Eureka Seven Hi-Evolution,11/26/2021 ,139600000.0,350558192.6
The Little Mermaid,07/05/1990 ,40000000.0,211343479.0
Shrek Forever After,07/02/2010 ,165000000.0,756244673.0
Ghostbusters: Afterlife,01/01/2022 ,75000000.0,203614138.0
Sonic the Hedgehog,02/13/2020 ,85000000.0,319715683.0
Teasing Master Takagi-san: The Movie,06/10/2022 ,189000000.0,1168749675.2
Dragon Ball Z: Resurrection 'F',04/18/2015 ,5000000.0,61768190.0
The Guardians of the Galaxy Holiday Special,11/25/2022 ,97200000.0,641749489.4
Secret Headquarters,08/12/2022 ,143000000.0,420598835.4
The Princess and the Frog,01/10/2010 ,105000000.0,270997378.0
365 Days: This Day,04/27/2022 ,162100000.0,437846475.2
Faraway,03/08/2023 ,52900000.0,368167712.6
Hellhole,10/26/2022 ,146740000.0,301123555.2
To Kill the Beast,04/28/2022 ,105000000.0,227896979.2
Zootopia,03/17/2016 ,150000000.0,1002462578.0
The Book of Daniel,10/01/2013 ,92600000.0,428471214.2
Lesson Plan,11/23/2022 ,121600000.0,343621307.4
Free Guy,09/09/2021 ,110000000.0,331526598.0
Malvada,12/29/2022 ,88200000.0,429165998.8
Diary of a Wimpy Kid: Rodrick Rules,12/02/2022 ,18000000.0,73695194.0
Iron Man 2,04/29/2010 ,170000000.0,621156389.0
The Conjuring,07/18/2013 ,20000000.0,316849722.0
Fast & Furious Presents: Hobbs & Shaw,08/01/2019 ,200000000.0,760732926.0
The Library Boys,11/29/2022 ,77300000.0,564483267.8
The Maze Runner,09/12/2014 ,34000000.0,348319861.0
Blueback,01/01/2023 ,178000000.0,528252215.4
The King's Man,01/06/2022 ,100000000.0,125928656.0
The Hobbit: The Battle of the Five Armies,12/26/2014 ,250000000.0,940323039.0
"Miraculous World: New York, United HeroeZ",09/26/2020 ,134400000.0,662530414.0
Mary Magdalene,03/22/2018 ,7855689.0,11710110.0
The Pilgrim's Progress,04/18/2019 ,101000000.0,893800197.2
Red Notice,11/04/2021 ,150000000.0,173638.0
Solo Somos Carne,10/13/2022 ,87000000.0,476680473.8
Groot Takes a Bath,08/10/2022 ,131400000.0,730150001.2
X,03/24/2022 ,1000000.0,15113105.0
The Croods: A New Age,04/07/2021 ,65000000.0,214790246.0
Boruto: Naruto the Movie,08/07/2015 ,24413000.0,39500000.0
Thor: Ragnarok,10/26/2017 ,180000000.0,850482778.0
Barbie,07/21/2023 ,175000000.0,178359863.0
Noah,03/27/2014 ,130000000.0,352831065.0
The Seven Deadly Sins: Cursed by Light,07/02/2021 ,38211149.2,1094673.0
The Girl from the Other Side,03/10/2022 ,67654097.6,629573144.8
Enola Holmes 2,11/04/2022 ,93000000.0,394945972.8
Ant-Man,07/16/2015 ,130000000.0,518858449.0
Scream,02/13/1997 ,24000000.0,138874789.0
Scream,02/13/1997 ,15000000.0,173046640.0
Frozen II,12/28/2019 ,150000000.0,1437862795.0
Shrek the Third,06/07/2007 ,160000000.0,807330936.0
Ratatouille,09/06/2007 ,150000000.0,626549695.0
Maneater,08/26/2022 ,132800000.0,660707570.8
Raya and the Last Dragon,03/04/2021 ,100000000.0,130423032.0
Slumberland,11/18/2022 ,35000000.0,374600744.4
PAW Patrol: The Movie,08/21/2021 ,26000000.0,144327371.0
Deadpool,02/11/2016 ,58000000.0,781947691.0
The Good Dinosaur,01/01/2016 ,187500000.0,333771037.0
Last Seen Alive,05/19/2022 ,107700000.0,276937185.8
We Have a Ghost,02/24/2023 ,150000000.0,569719222.6
"Paul, Apostle of Christ",03/29/2018 ,5000000.0,26078500.0
Real Steel,09/28/2011 ,110000000.0,263880341.0
The Matrix Resurrections,12/26/2021 ,190000000.0,159197755.0
Lou,09/23/2022 ,69400000.0,240033015.8
Pinocchio,09/08/2022 ,45000000.0,31681811.0
Pinocchio,09/08/2022 ,13200000.0,30360375.0
Pinocchio,09/08/2022 ,2289247.0,84300000.0
Miraculous World: Shanghai – The Legend of Ladydragon,04/04/2021 ,149860000.0,660957374.4
The Tomorrow War,07/02/2021 ,200000000.0,19220000.0
Cars,06/08/2006 ,70000000.0,461630558.0
Grimcutty,10/10/2022 ,130800000.0,249577615.2
Scrooge: A Christmas Carol,11/25/2022 ,87000000.0,459237806.0
Your Place or Mine,02/10/2023 ,105400000.0,286421986.2
Your Name.,11/24/2016 ,2937023.8,357986087.0
Puss in Boots,10/28/2011 ,130000000.0,554987477.0
One Piece Film Red,11/03/2022 ,8705000.0,150797338.0
The Fate of the Furious,04/12/2017 ,250000000.0,1236703796.0
The Strays,02/17/2023 ,131700000.0,751965791.6
Watcher,06/03/2022 ,10237862.6,2667033.0
The Gray Man,07/14/2022 ,200000000.0,451178.0
The Mummy Resurrection,01/02/2023 ,102800000.0,545695337.6
The Fallout,03/17/2021 ,114200000.0,736329646.2
Guardians of the Galaxy Volume 3,05/04/2023 ,250000000.0,1240261.6
Boyka: Undisputed IV,09/22/2016 ,119400000.0,343644155.0
The Godfather,11/02/1972 ,7000000.0,270007394.0
Mulan,09/03/1998 ,200000000.0,69973540.0
Mulan,09/03/1998 ,90000000.0,303500000.0
Dracula: The Original Living Vampire,01/28/2022 ,124800000.0,605767026.8
Big Hero 6,12/25/2014 ,165000000.0,647263005.0
Triangle of Sadness,12/26/2022 ,15600000.0,24733572.0
Dungeons & Dragons,01/18/2001 ,35000000.0,15185241.0
Wire Room,09/02/2022 ,101000000.0,321357348.6
Killing Jesus,03/29/2015 ,35580000.0,258973331.6
Inside Out,06/09/2015 ,175000000.0,850566343.0
The Miracle of Marcelino,02/24/1955 ,110000000.0,759213943.8
Fury,10/23/2014 ,80000000.0,210315681.0
Welcome to the Club,09/08/2022 ,124000000.0,690278154.2
Emancipation,12/02/2022 ,120000000.0,0.0
Undisputed III: Redemption,06/17/2010 ,3000000.0,78701381.8
The Last Warrior: Root of Evil,01/01/2021 ,8400000.0,27658331.0
After We Fell,10/22/2021 ,14000000.0,21500000.0
Seoul Vibe,08/26/2022 ,160200000.0,348577844.0
One Week Friends,06/18/2022 ,111940000.0,638332462.6
Space Jam: A New Legacy,07/08/2021 ,150000000.0,143987946.0
Nobody,04/01/2021 ,16000000.0,57512470.0
The Tiger's Nest,10/13/2022 ,120000000.0,305330864.2
Naruto Shippuden the Movie,08/04/2007 ,33111535.2,10000000.0
Terrifier,03/15/2016 ,35000.0,0.0
In the Forest,01/28/2022 ,84600000.0,178745725.6
The Amazing Spider-Man,07/03/2012 ,220000000.0,757890267.0
Evil Dead,05/01/2013 ,17000000.0,99010045.0
El asistente,03/01/2023 ,201000000.0,1569323843.8
Virus:32,04/21/2022 ,101400000.0,531683245.8
Linoleum,03/30/2023 ,109000000.0,673135995.2
After We Collided,01/01/2021 ,24685792.0,42000000.0
Sinner: The Secret Diary of a Nymphomaniac,06/21/1973 ,167400000.0,997517367.8
A Quiet Place Part II,05/21/2021 ,61000000.0,297400000.0
